## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2568e+00   2.2043e-01   6.9291e-05   1.6489e-06   3.0137e-08  -1.1155e-07   1.2943e-07   1.2943e-07   7.5120e+07   7.0587e+05
  1.9953e+00   2.0040e+00   6.8809e-01   5.2079e-05   4.3114e-06  -1.2548e-07   8.1533e-08   7.3957e-08   7.3957e-08   2.3006e+08   2.1555e+06
  3.1623e+00   3.2547e+00   1.1715e+00   3.5373e-05   7.4955e-06   4.8944e-08  -1.5467e-08   4.4751e-08   4.4751e-08   6.2835e+08   5.8970e+06
  5.0119e+00   5.2397e+00   1.6485e+00   2.3114e-05   8.5917e-06  -7.1411e-08  -6.6646e-08   2.8617e-08   2.8617e-08   1.5366e+09   1.4416e+07
  7.9433e+00   8.2987e+00   2.1087e+00   1.5188e-05   7.7238e-06   1.7402e-08   5.9552e-08   1.8228e-08   1.8228e-08   3.7870e+09   3.5510e+07
  1.2589e+01   1.3147e+01   2.5687e+00   1.0248e-05   6.0472e-06   3.1407e-08   3.0252e-08   1.1470e-08   1.1470e-08   9.5652e+09   8.9757e+07
  1.9953e+01   2.0845e+01   3.0296e+00   7.0049e-06   4.3180e-06   1.1307e-08   3.3102e-09   7.2431e-09   7.2431e-09   2.3986e+10   2.2516e+08
  3.1623e+01   3.3039e+01   3.4902e+00   4.6795e-06   2.9386e-06   1.8095e-08   2.2688e-09   4.5723e-09   4.5723e-09   6.0192e+10   5.6508e+08
  5.0119e+01   5.2370e+01   3.9508e+00   3.0045e-06   2.0269e-06   1.6876e-08   4.0440e-09   2.8851e-09   2.8851e-09   1.5117e+11   1.4194e+09
  7.9433e+01   8.3019e+01   4.4116e+00   1.7948e-06   1.4358e-06   9.7054e-09  -2.1227e-09   1.8204e-09   1.8204e-09   3.7974e+11   3.5654e+09
