## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2571e+00   2.2062e-01   1.0794e-04   2.7903e-06   4.1199e-24  -3.2359e-07   2.1279e-07   2.1279e-07   4.7159e+07   5.3363e+05
  1.9953e+00   2.0034e+00   6.8773e-01   8.0009e-05   7.4322e-06   1.3151e-23   7.6187e-07   1.2220e-07   1.2220e-07   1.4298e+08   1.6152e+06
  3.1623e+00   3.2540e+00   1.1711e+00   5.3724e-05   1.2522e-05  -1.0528e-23  -6.8589e-09   7.3978e-08   7.3978e-08   3.9016e+08   4.4089e+06
  5.0119e+00   5.2415e+00   1.6487e+00   3.4898e-05   1.3794e-05  -1.4185e-23   7.0096e-08   4.7361e-08   4.7361e-08   9.5194e+08   1.0752e+07
  7.9433e+00   8.2982e+00   2.1086e+00   2.3319e-05   1.2279e-05   2.5868e-23  -1.2676e-08   3.0242e-08   3.0242e-08   2.3347e+09   2.6363e+07
  1.2589e+01   1.3147e+01   2.5686e+00   1.5851e-05   9.2752e-06   9.1772e-23   3.3723e-08   1.9034e-08   1.9034e-08   5.8940e+09   6.6592e+07
  1.9953e+01   2.0844e+01   3.0295e+00   1.0858e-05   6.5031e-06   5.2722e-23   2.6315e-08   1.2029e-08   1.2029e-08   1.4757e+10   1.6684e+08
  3.1623e+01   3.3035e+01   3.4900e+00   7.2106e-06   4.4530e-06  -1.2535e-22   2.5942e-09   7.5981e-09   7.5981e-09   3.6987e+10   4.1825e+08
  5.0119e+01   5.2362e+01   3.9506e+00   4.5546e-06   3.1335e-06   4.7587e-14   1.3747e-09   4.7962e-09   4.7962e-09   9.2823e+10   1.0497e+09
  7.9433e+01   8.3008e+01   4.4114e+00   2.6016e-06   2.2537e-06  -1.8953e-14  -5.9066e-09   3.0266e-09   3.0266e-09   2.3311e+11   2.6361e+09
