## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2567e+00   2.2039e-01   7.0808e-05   1.7511e-06  -2.1819e-07  -2.7402e-07   1.5683e-07   1.5683e-07   6.9857e+07   7.7906e+05
  1.9953e+00   2.0045e+00   6.8832e-01   5.3323e-05   4.6368e-06  -6.3567e-09  -2.7006e-08   8.9439e-08   8.9439e-08   2.1479e+08   2.3914e+06
  3.1623e+00   3.2554e+00   1.1717e+00   3.5794e-05   7.9025e-06  -8.1562e-09   5.9203e-09   5.4009e-08   5.4009e-08   5.8903e+08   6.5678e+06
  5.0119e+00   5.2402e+00   1.6486e+00   2.3597e-05   8.8662e-06  -1.0287e-07  -6.2685e-08   3.4490e-08   3.4490e-08   1.4444e+09   1.6099e+07
  7.9433e+00   8.2989e+00   2.1087e+00   1.5451e-05   8.0115e-06  -1.1456e-08  -2.9167e-08   2.1972e-08   2.1972e-08   3.5589e+09   3.9667e+07
  1.2589e+01   1.3148e+01   2.5687e+00   1.0492e-05   6.2418e-06  -6.6969e-09   3.7341e-08   1.3814e-08   1.3814e-08   9.0037e+09   1.0041e+08
  1.9953e+01   2.0846e+01   3.0296e+00   7.1627e-06   4.4087e-06  -3.0581e-09  -7.2276e-09   8.7187e-09   8.7187e-09   2.2602e+10   2.5209e+08
  3.1623e+01   3.3039e+01   3.4901e+00   4.8044e-06   3.0042e-06   4.8857e-10  -3.5996e-09   5.5026e-09   5.5026e-09   5.6745e+10   6.3313e+08
  5.0119e+01   5.2369e+01   3.9508e+00   3.0550e-06   2.0704e-06  -8.4241e-09   3.6500e-09   3.4710e-09   3.4710e-09   1.4261e+11   1.5913e+09
  7.9433e+01   8.3014e+01   4.4116e+00   1.7995e-06   1.4728e-06  -5.8558e-09   4.1858e-09   2.1898e-09   2.1898e-09   3.5832e+11   3.9981e+09
