## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2575e+00   2.2091e-01   1.9650e-05   2.5630e-08  -1.0224e-07  -9.9234e-08   1.0747e-07   1.0747e-07   2.6812e+07   2.0025e+05
  1.9953e+00   2.0048e+00   6.8842e-01   1.5412e-05   1.1977e-06  -2.9612e-08   1.4573e-08   6.1209e-08   6.1209e-08   8.2656e+07   6.1722e+05
  3.1623e+00   3.2549e+00   1.1714e+00   1.0951e-05   1.7150e-06   1.3612e-08   3.8172e-08   3.6922e-08   3.6922e-08   2.2717e+08   1.6975e+06
  5.0119e+00   5.2389e+00   1.6482e+00   7.5079e-06   2.1566e-06   1.3421e-08  -2.9651e-08   2.3572e-08   2.3572e-08   5.5735e+08   4.1645e+06
  7.9433e+00   8.2965e+00   2.1084e+00   4.9382e-06   2.0332e-06   1.0918e-08  -1.7037e-08   1.5014e-08   1.5014e-08   1.3737e+09   1.0254e+07
  1.2589e+01   1.3144e+01   2.5685e+00   3.2168e-06   1.7547e-06   1.9315e-08   5.4840e-09   9.4363e-09   9.4363e-09   3.4779e+09   2.5971e+07
  1.9953e+01   2.0843e+01   3.0296e+00   2.1206e-06   1.3538e-06   5.1758e-09  -1.2691e-08   5.9541e-09   5.9541e-09   8.7354e+09   6.5250e+07
  3.1623e+01   3.3041e+01   3.4903e+00   1.4034e-06   9.5513e-07   3.9559e-09  -8.5040e-09   3.7560e-09   3.7560e-09   2.1952e+10   1.6403e+08
  5.0119e+01   5.2376e+01   3.9510e+00   9.3565e-07   6.5520e-07   6.5941e-09   2.9556e-09   2.3696e-09   2.3696e-09   5.5153e+10   4.1214e+08
  7.9433e+01   8.3022e+01   4.4117e+00   6.0073e-07   4.3363e-07   4.0692e-09  -2.1490e-09   1.4948e-09   1.4948e-09   1.3859e+11   1.0356e+09
