## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2575e+00   2.2096e-01   1.1599e-04   2.8835e-06  -4.1206e-08  -4.1848e-07   2.5849e-07   2.5849e-07   4.3633e+07   5.8583e+05
  1.9953e+00   2.0038e+00   6.8792e-01   8.5635e-05   8.1699e-06  -9.1770e-08   1.6260e-07   1.4797e-07   1.4797e-07   1.3316e+08   1.7860e+06
  3.1623e+00   3.2535e+00   1.1710e+00   5.6831e-05   1.3649e-05  -2.0294e-07   2.3665e-08   8.9477e-08   8.9477e-08   3.6416e+08   4.8928e+06
  5.0119e+00   5.2413e+00   1.6486e+00   3.7296e-05   1.5178e-05  -1.3750e-07  -9.3726e-08   5.7132e-08   5.7132e-08   8.9321e+08   1.1989e+07
  7.9433e+00   8.2983e+00   2.1085e+00   2.4920e-05   1.3200e-05  -1.1252e-07   2.0031e-08   3.6476e-08   3.6476e-08   2.1914e+09   2.9408e+07
  1.2589e+01   1.3146e+01   2.5685e+00   1.7045e-05   9.9431e-06  -8.0500e-08   2.3245e-08   2.2936e-08   2.2936e-08   5.5422e+09   7.4422e+07
  1.9953e+01   2.0845e+01   3.0295e+00   1.1647e-05   6.9267e-06  -9.8831e-09   1.8686e-08   1.4486e-08   1.4486e-08   1.3894e+10   1.8664e+08
  3.1623e+01   3.3036e+01   3.4900e+00   7.7134e-06   4.7652e-06  -4.0859e-08   2.0963e-08   9.1442e-09   9.1442e-09   3.4868e+10   4.6850e+08
  5.0119e+01   5.2365e+01   3.9507e+00   4.8066e-06   3.3427e-06  -3.8043e-08   1.0204e-09   5.7701e-09   5.7701e-09   8.7570e+10   1.1768e+09
  7.9433e+01   8.3008e+01   4.4115e+00   2.6954e-06   2.4245e-06  -1.2286e-08   3.7408e-10   3.6407e-09   3.6407e-09   2.1997e+11   2.9561e+09
