## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2575e+00   2.2091e-01   1.8252e-05  -5.7873e-08  -1.8099e-06   7.1073e-07   2.6894e-06   2.6894e-06   2.6812e+07   2.0025e+05
  1.9953e+00   2.0048e+00   6.8842e-01   1.8145e-05   7.4031e-07  -6.0745e-07  -2.7370e-06   1.5317e-06   1.5317e-06   8.2656e+07   6.1722e+05
  3.1623e+00   3.2549e+00   1.1714e+00   1.2121e-05   2.1189e-06  -2.2952e-06   2.2563e-06   9.2395e-07   9.2395e-07   2.2717e+08   1.6975e+06
  5.0119e+00   5.2389e+00   1.6482e+00   7.4149e-06   1.3360e-06   9.8150e-08   1.6596e-07   5.8987e-07   5.8987e-07   5.5735e+08   4.1645e+06
  7.9433e+00   8.2965e+00   2.1084e+00   4.8262e-06   1.7011e-06   1.0134e-07  -6.0665e-07   3.7572e-07   3.7572e-07   1.3737e+09   1.0254e+07
  1.2589e+01   1.3144e+01   2.5685e+00   3.1730e-06   1.8568e-06   2.9282e-07   3.3731e-07   2.3614e-07   2.3614e-07   3.4779e+09   2.5971e+07
  1.9953e+01   2.0843e+01   3.0296e+00   1.8896e-06   1.1700e-06   1.9541e-07   2.0725e-08   1.4900e-07   1.4900e-07   8.7354e+09   6.5250e+07
  3.1623e+01   3.3041e+01   3.4903e+00   1.2718e-06   1.0083e-06  -1.4506e-07   1.0623e-07   9.3991e-08   9.3991e-08   2.1952e+10   1.6403e+08
  5.0119e+01   5.2376e+01   3.9510e+00   8.0064e-07   7.2683e-07   6.0619e-08   2.3503e-08   5.9298e-08   5.9298e-08   5.5153e+10   4.1214e+08
  7.9433e+01   8.3022e+01   4.4117e+00   5.3936e-07   4.7951e-07   2.9247e-08  -7.6937e-09   3.7407e-08   3.7407e-08   1.3859e+11   1.0356e+09
