## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2551e+00   2.1924e-01   7.7536e-06   1.2117e-07   1.7731e-24   1.5948e-07   4.7909e-08   4.7909e-08   1.9567e+07   9.6714e+04
  1.9953e+00   2.0032e+00   6.8762e-01   6.0407e-06   3.2134e-07  -5.5059e-24   4.4829e-08   2.7834e-08   2.7834e-08   5.7972e+07   2.8639e+05
  3.1623e+00   3.2505e+00   1.1701e+00   4.7148e-06   7.0568e-07  -1.8370e-24  -2.3727e-08   1.7187e-08   1.7187e-08   1.5204e+08   7.5078e+05
  5.0119e+00   5.2330e+00   1.6471e+00   3.3023e-06   7.0475e-07   2.5516e-24  -3.2454e-08   1.1186e-08   1.1186e-08   3.5897e+08   1.7726e+06
  7.9433e+00   8.2874e+00   2.1073e+00   2.2064e-06   7.3111e-07   5.4874e-24  -2.4944e-08   7.2272e-09   7.2272e-09   8.5986e+08   4.2437e+06
  1.2589e+01   1.3136e+01   2.5679e+00   1.4412e-06   6.9743e-07   6.1869e-24  -6.7394e-09   4.5837e-09   4.5837e-09   2.1377e+09   1.0552e+07
  1.9953e+01   2.0835e+01   3.0292e+00   9.4429e-07   5.7025e-07   3.4603e-24  -4.9020e-09   2.9061e-09   2.9061e-09   5.3181e+09   2.6252e+07
  3.1623e+01   3.3033e+01   3.4901e+00   6.1642e-07   4.2137e-07   1.0896e-23   4.7922e-09   1.8400e-09   1.8400e-09   1.3266e+10   6.5490e+07
  5.0119e+01   5.2361e+01   3.9507e+00   4.1224e-07   2.9215e-07  -1.2795e-23  -5.5329e-11   1.1638e-09   1.1638e-09   3.3160e+10   1.6371e+08
  7.9433e+01   8.3010e+01   4.4115e+00   2.7156e-07   1.9325e-07  -2.1571e-23   8.8450e-11   7.3557e-10   7.3557e-10   8.3010e+10   4.0984e+08
