## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2568e+00   2.2043e-01   7.1290e-05   3.2320e-06  -1.0164e-06  -2.3907e-07   1.5831e-06   1.5831e-06   7.5120e+07   7.0587e+05
  1.9953e+00   2.0040e+00   6.8809e-01   5.2617e-05   3.8603e-06   7.9312e-07  -6.7609e-08   9.0462e-07   9.0462e-07   2.3006e+08   2.1555e+06
  3.1623e+00   3.2547e+00   1.1715e+00   3.5430e-05   8.3246e-06   1.9876e-08   6.1096e-07   5.4737e-07   5.4737e-07   6.2835e+08   5.8970e+06
  5.0119e+00   5.2397e+00   1.6485e+00   2.2412e-05   8.6077e-06   5.1326e-07   1.5221e-07   3.5003e-07   3.5003e-07   1.5366e+09   1.4416e+07
  7.9433e+00   8.2987e+00   2.1087e+00   1.5240e-05   7.6681e-06   3.3065e-07   2.1484e-07   2.2296e-07   2.2296e-07   3.7870e+09   3.5510e+07
  1.2589e+01   1.3147e+01   2.5687e+00   1.0289e-05   5.9165e-06   7.2856e-08   8.4625e-08   1.4029e-07   1.4029e-07   9.5652e+09   8.9757e+07
  1.9953e+01   2.0845e+01   3.0296e+00   6.9977e-06   4.2995e-06  -1.7966e-08   1.7873e-07   8.8595e-08   8.8595e-08   2.3986e+10   2.2516e+08
  3.1623e+01   3.3039e+01   3.4902e+00   4.6483e-06   2.9044e-06  -3.5261e-08   3.4838e-08   5.5926e-08   5.5926e-08   6.0192e+10   5.6508e+08
  5.0119e+01   5.2370e+01   3.9508e+00   3.0220e-06   1.9947e-06   6.7333e-09   3.2358e-09   3.5290e-08   3.5290e-08   1.5117e+11   1.4194e+09
  7.9433e+01   8.3019e+01   4.4116e+00   1.7801e-06   1.4388e-06   1.2287e-08  -1.7428e-08   2.2266e-08   2.2266e-08   3.7974e+11   3.5654e+09
