## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2567e+00   2.2039e-01   7.0962e-05   2.2768e-06  -4.0639e-07   7.4147e-08   1.6964e-06   1.6964e-06   6.9857e+07   7.7906e+05
  1.9953e+00   2.0045e+00   6.8832e-01   5.3208e-05   4.5155e-06   5.3913e-07   1.0394e-06   9.6743e-07   9.6743e-07   2.1479e+08   2.3914e+06
  3.1623e+00   3.2554e+00   1.1717e+00   3.6420e-05   7.6782e-06  -1.0953e-06  -9.9899e-07   5.8419e-07   5.8419e-07   5.8903e+08   6.5678e+06
  5.0119e+00   5.2402e+00   1.6486e+00   2.3757e-05   8.5706e-06  -5.6135e-07  -5.2907e-08   3.7306e-07   3.7306e-07   1.4444e+09   1.6099e+07
  7.9433e+00   8.2989e+00   2.1087e+00   1.5172e-05   7.9074e-06   1.1958e-07   2.7877e-08   2.3766e-07   2.3766e-07   3.5589e+09   3.9667e+07
  1.2589e+01   1.3148e+01   2.5687e+00   1.0342e-05   6.2593e-06  -2.2410e-07   1.1965e-07   1.4942e-07   1.4942e-07   9.0037e+09   1.0041e+08
  1.9953e+01   2.0846e+01   3.0296e+00   7.1741e-06   4.5786e-06  -1.3801e-07   2.1203e-07   9.4307e-08   9.4307e-08   2.2602e+10   2.5209e+08
  3.1623e+01   3.3039e+01   3.4901e+00   4.8130e-06   2.9707e-06  -9.7595e-08  -1.1019e-07   5.9520e-08   5.9520e-08   5.6745e+10   6.3313e+08
  5.0119e+01   5.2369e+01   3.9508e+00   3.0384e-06   1.9933e-06  -8.6082e-08  -5.6006e-09   3.7545e-08   3.7545e-08   1.4261e+11   1.5913e+09
  7.9433e+01   8.3014e+01   4.4116e+00   1.7596e-06   1.4501e-06  -3.2841e-08   1.3841e-08   2.3686e-08   2.3686e-08   3.5832e+11   3.9981e+09
