## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2577e+00   2.2115e-01   1.3431e-04   6.6681e-06  -1.8944e-23   4.2446e-06   2.0922e-06   2.0922e-06   4.1023e+07   6.5545e+05
  1.9953e+00   2.0032e+00   6.8756e-01   9.6107e-05   8.8599e-06  -6.3762e-23  -2.5274e-06   1.1968e-06   1.1968e-06   1.2537e+08   1.9985e+06
  3.1623e+00   3.2542e+00   1.1712e+00   6.3735e-05   1.6255e-05  -8.2556e-23   4.8318e-07   7.2221e-07   7.2221e-07   3.4427e+08   5.4914e+06
  5.0119e+00   5.2423e+00   1.6488e+00   4.1437e-05   1.7656e-05  -2.6744e-22   2.6364e-07   4.6138e-07   4.6138e-07   8.4355e+08   1.3440e+07
  7.9433e+00   8.2993e+00   2.1086e+00   2.7335e-05   1.4506e-05  -1.0689e-22   5.3914e-08   2.9459e-07   2.9459e-07   2.0691e+09   3.2983e+07
  1.2589e+01   1.3147e+01   2.5685e+00   1.8901e-05   1.1178e-05   2.6375e-22   5.6251e-08   1.8524e-07   1.8524e-07   5.2331e+09   8.3496e+07
  1.9953e+01   2.0844e+01   3.0294e+00   1.3146e-05   7.3632e-06  -6.6147e-22   1.3313e-07   1.1702e-07   1.1702e-07   1.3113e+10   2.0933e+08
  3.1623e+01   3.3035e+01   3.4899e+00   8.6252e-06   5.1852e-06   6.1853e-22  -9.5997e-08   7.3878e-08   7.3878e-08   3.2900e+10   5.2532e+08
  5.0119e+01   5.2361e+01   3.9506e+00   5.2946e-06   3.6421e-06   9.8656e-22   5.4141e-08   4.6619e-08   4.6619e-08   8.2624e+10   1.3197e+09
  7.9433e+01   8.3006e+01   4.4114e+00   2.9025e-06   2.7060e-06  -4.0198e-22   1.1716e-07   2.9411e-08   2.9411e-08   2.0759e+11   3.3156e+09
