## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2575e+00   2.2096e-01   1.1829e-04   3.2347e-06  -2.0886e-06  -6.7240e-07   1.9632e-06   1.9632e-06   4.3633e+07   5.8583e+05
  1.9953e+00   2.0038e+00   6.8792e-01   8.5700e-05   9.5217e-06   8.0521e-07   1.1003e-06   1.1238e-06   1.1238e-06   1.3316e+08   1.7860e+06
  3.1623e+00   3.2535e+00   1.1710e+00   5.8222e-05   1.3582e-05  -2.8260e-07   9.1945e-07   6.7956e-07   6.7956e-07   3.6416e+08   4.8928e+06
  5.0119e+00   5.2413e+00   1.6486e+00   3.7191e-05   1.5569e-05  -2.7837e-07  -2.5881e-08   4.3391e-07   4.3391e-07   8.9321e+08   1.1989e+07
  7.9433e+00   8.2983e+00   2.1085e+00   2.4580e-05   1.3677e-05  -2.1558e-07   1.2254e-07   2.7702e-07   2.7702e-07   2.1914e+09   2.9408e+07
  1.2589e+01   1.3146e+01   2.5685e+00   1.7271e-05   9.8874e-06  -1.3801e-07  -1.8850e-07   1.7419e-07   1.7419e-07   5.5422e+09   7.4422e+07
  1.9953e+01   2.0845e+01   3.0295e+00   1.1949e-05   6.9828e-06  -1.5497e-07   3.2291e-08   1.1002e-07   1.1002e-07   1.3894e+10   1.8664e+08
  3.1623e+01   3.3036e+01   3.4900e+00   7.7574e-06   4.7401e-06  -1.0921e-07   3.2924e-08   6.9449e-08   6.9449e-08   3.4868e+10   4.6850e+08
  5.0119e+01   5.2365e+01   3.9507e+00   4.8491e-06   3.3877e-06  -5.1297e-08  -8.8584e-10   4.3823e-08   4.3823e-08   8.7570e+10   1.1768e+09
  7.9433e+01   8.3008e+01   4.4115e+00   2.6659e-06   2.4278e-06  -1.9447e-08  -3.2365e-08   2.7650e-08   2.7650e-08   2.1997e+11   2.9561e+09
