## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2572e+00   2.2071e-01   2.0962e-05   1.2547e-06  -3.0911e-06   3.1771e-06   2.8556e-06   2.8556e-06   2.5394e+07   2.2520e+05
  1.9953e+00   2.0043e+00   6.8816e-01   1.7372e-05   3.0697e-06  -3.1833e-06   2.2305e-06   1.6312e-06   1.6312e-06   7.7821e+07   6.9008e+05
  3.1623e+00   3.2544e+00   1.1712e+00   1.0019e-05   1.7211e-06  -1.0981e-06  -5.6148e-07   9.8311e-07   9.8311e-07   2.1425e+08   1.9010e+06
  5.0119e+00   5.2410e+00   1.6486e+00   7.9552e-06   2.9881e-06   3.6060e-07   1.4874e-07   6.2728e-07   6.2728e-07   5.2626e+08   4.6663e+06
  7.9433e+00   8.2971e+00   2.1085e+00   4.2083e-06   1.4586e-06  -2.8081e-07   3.2949e-07   3.9982e-07   3.9982e-07   1.2954e+09   1.1491e+07
  1.2589e+01   1.3145e+01   2.5685e+00   2.6533e-06   1.3955e-06   1.1284e-07  -7.6962e-08   2.5118e-07   2.5118e-07   3.2822e+09   2.9116e+07
  1.9953e+01   2.0843e+01   3.0295e+00   2.1765e-06   1.1080e-06   4.3086e-09  -4.0704e-09   1.5847e-07   1.5847e-07   8.2462e+09   7.3195e+07
  3.1623e+01   3.3040e+01   3.4903e+00   1.0867e-06   1.0523e-06  -2.2420e-07  -7.1896e-08   9.9980e-08   9.9980e-08   2.0715e+10   1.8396e+08
  5.0119e+01   5.2374e+01   3.9510e+00   8.2065e-07   7.2565e-07  -2.1570e-08   8.9262e-09   6.3073e-08   6.3073e-08   5.2052e+10   4.6225e+08
  7.9433e+01   8.3020e+01   4.4117e+00   5.5875e-07   3.6595e-07  -1.5447e-08   1.7111e-09   3.9786e-08   3.9786e-08   1.3082e+11   1.1616e+09
