## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2567e+00   2.2038e-01   2.4801e-05   1.6203e-06  -2.7537e-06   5.0978e-07   1.5650e-06   1.5650e-06   8.3384e+07   5.8608e+05
  1.9953e+00   2.0043e+00   6.8824e-01   2.1372e-05   1.6144e-06   9.4031e-08  -2.9330e-07   8.9741e-07   8.9741e-07   2.5359e+08   1.7818e+06
  3.1623e+00   3.2540e+00   1.1713e+00   1.5550e-05   2.2376e-06   6.1898e-07   8.5912e-07   5.4499e-07   5.4499e-07   6.8762e+08   4.8320e+06
  5.0119e+00   5.2375e+00   1.6481e+00   9.9212e-06   3.0411e-06   5.5956e-07   3.6316e-07   3.4942e-07   3.4942e-07   1.6728e+09   1.1752e+07
  7.9433e+00   8.2973e+00   2.1086e+00   6.4696e-06   2.7662e-06   3.2894e-07  -4.6170e-07   2.2282e-07   2.2282e-07   4.1135e+09   2.8892e+07
  1.2589e+01   1.3147e+01   2.5687e+00   4.3701e-06   2.6020e-06  -9.7299e-08   1.3551e-07   1.4031e-07   1.4031e-07   1.0373e+10   7.2904e+07
  1.9953e+01   2.0845e+01   3.0296e+00   2.9179e-06   1.7495e-06  -1.7979e-08  -2.2413e-08   8.8635e-08   8.8635e-08   2.5996e+10   1.8274e+08
  3.1623e+01   3.3040e+01   3.4902e+00   1.9648e-06   1.2150e-06   4.2793e-09  -3.2029e-09   5.5969e-08   5.5969e-08   6.5196e+10   4.5836e+08
  5.0119e+01   5.2372e+01   3.9509e+00   1.2664e-06   8.0916e-07   2.4255e-08   3.1768e-08   3.5327e-08   3.5327e-08   1.6365e+11   1.1505e+09
  7.9433e+01   8.3020e+01   4.4116e+00   8.0091e-07   5.8751e-07   2.5589e-08  -1.6652e-08   2.2295e-08   2.2295e-08   4.1086e+11   2.8886e+09
