## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2564e+00   2.2016e-01   1.8333e-05   3.3131e-06   3.7201e-23   9.6999e-07   1.7622e-06   1.7622e-06   5.9687e+07   3.7880e+05
  1.9953e+00   2.0036e+00   6.8789e-01   1.6569e-05   1.3141e-06   7.4954e-23   2.1071e-08   1.0212e-06   1.0212e-06   1.7775e+08   1.1254e+06
  3.1623e+00   3.2528e+00   1.1709e+00   9.8099e-06   2.1748e-06   1.3890e-22  -1.6107e-06   6.2587e-07   6.2587e-07   4.7317e+08   3.0007e+06
  5.0119e+00   5.2353e+00   1.6477e+00   7.3628e-06   2.9862e-06   4.3367e-22  -7.5193e-07   4.0417e-07   4.0417e-07   1.1346e+09   7.1970e+06
  7.9433e+00   8.2945e+00   2.1082e+00   4.5293e-06   2.6284e-06  -6.7938e-23  -1.2974e-07   2.5860e-07   2.5860e-07   2.7715e+09   1.7559e+07
  1.2589e+01   1.3145e+01   2.5686e+00   2.7183e-06   1.4935e-06  -1.3072e-22   7.8569e-08   1.6322e-07   1.6322e-07   6.9574e+09   4.4099e+07
  1.9953e+01   2.0842e+01   3.0295e+00   1.9647e-06   1.3262e-06  -6.0831e-22  -1.6456e-07   1.0327e-07   1.0327e-07   1.7381e+10   1.1018e+08
  3.1623e+01   3.3037e+01   3.4901e+00   1.5298e-06   7.9685e-07   1.0683e-22   2.0447e-08   6.5277e-08   6.5277e-08   4.3498e+10   2.7581e+08
  5.0119e+01   5.2365e+01   3.9508e+00   9.1293e-07   5.7177e-07  -4.4864e-22   3.9021e-09   4.1243e-08   4.1243e-08   1.0896e+11   6.9095e+08
  7.9433e+01   8.3013e+01   4.4115e+00   6.3422e-07   4.2090e-07  -6.1645e-22  -4.0337e-08   2.6050e-08   2.6050e-08   2.7313e+11   1.7320e+09
