## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2566e+00   2.2027e-01   1.6593e-05  -8.4532e-07  -2.6394e-06   1.5626e-06   2.2733e-06   2.2733e-06   4.4858e+07   2.7853e+05
  1.9953e+00   2.0050e+00   6.8855e-01   1.0627e-05  -6.8515e-07  -1.2199e-06  -1.2180e-06   1.2978e-06   1.2978e-06   1.3763e+08   8.5332e+05
  3.1623e+00   3.2542e+00   1.1713e+00   8.1112e-06   4.4902e-07   9.6886e-07   6.3546e-07   7.8642e-07   7.8642e-07   3.7483e+08   2.3255e+06
  5.0119e+00   5.2376e+00   1.6481e+00   6.7216e-06   2.2906e-06   5.8492e-08   2.8322e-08   5.0310e-07   5.0310e-07   9.1586e+08   5.6789e+06
  7.9433e+00   8.2953e+00   2.1084e+00   4.2331e-06   2.0175e-06   1.1279e-07   1.9702e-07   3.2082e-07   3.2082e-07   2.2522e+09   1.3958e+07
  1.2589e+01   1.3144e+01   2.5686e+00   2.3808e-06   1.4130e-06   3.2817e-08  -1.1993e-07   2.0185e-07   2.0185e-07   5.6897e+09   3.5280e+07
  1.9953e+01   2.0844e+01   3.0297e+00   1.8183e-06   1.2670e-06  -1.3090e-07   9.7254e-08   1.2744e-07   1.2744e-07   1.4273e+10   8.8542e+07
  3.1623e+01   3.3044e+01   3.4905e+00   1.0362e-06   8.1407e-07  -5.2593e-08  -4.9756e-08   8.0421e-08   8.0421e-08   3.5843e+10   2.2236e+08
  5.0119e+01   5.2381e+01   3.9511e+00   6.7877e-07   5.6129e-07  -5.8364e-08  -2.9675e-08   5.0754e-08   5.0754e-08   8.9990e+10   5.5827e+08
  7.9433e+01   8.3026e+01   4.4117e+00   5.1912e-07   3.7264e-07   5.3563e-08  -7.2941e-09   3.2026e-08   3.2026e-08   2.2601e+11   1.4020e+09
