## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2565e+00   2.2017e-01   4.6683e-05   1.3926e-06   5.2606e-23   3.3641e-06   1.3331e-06   1.3331e-06   1.2663e+08   9.8826e+05
  1.9953e+00   2.0049e+00   6.8855e-01   3.5406e-05   4.5584e-06  -7.7397e-23  -7.8573e-08   7.6511e-07   7.6511e-07   3.8443e+08   2.9938e+06
  3.1623e+00   3.2544e+00   1.1714e+00   2.4801e-05   6.6411e-06   4.8815e-22   8.0553e-07   4.6521e-07   4.6521e-07   1.0398e+09   8.1058e+06
  5.0119e+00   5.2382e+00   1.6483e+00   1.5926e-05   6.3286e-06  -2.6711e-23  -1.3232e-07   2.9842e-07   2.9842e-07   2.5271e+09   1.9690e+07
  7.9433e+00   8.2990e+00   2.1087e+00   1.0601e-05   5.2880e-06   3.6886e-22   1.4788e-07   1.9025e-07   1.9025e-07   6.2172e+09   4.8403e+07
  1.2589e+01   1.3148e+01   2.5687e+00   7.0917e-06   4.2621e-06  -1.7551e-22   6.6136e-08   1.1989e-07   1.1989e-07   1.5657e+10   1.2204e+08
  1.9953e+01   2.0845e+01   3.0295e+00   4.8035e-06   3.0989e-06  -3.5190e-22   1.6156e-07   7.5757e-08   7.5757e-08   3.9212e+10   3.0559e+08
  3.1623e+01   3.3039e+01   3.4902e+00   3.1995e-06   2.0029e-06  -3.0653e-23   8.6469e-08   4.7851e-08   4.7851e-08   9.8284e+10   7.6612e+08
  5.0119e+01   5.2369e+01   3.9508e+00   2.0407e-06   1.3977e-06   2.2338e-22   8.0765e-08   3.0210e-08   3.0210e-08   2.4659e+11   1.9224e+09
  7.9433e+01   8.3020e+01   4.4116e+00   1.2633e-06   9.7869e-07   4.0404e-24  -4.9020e-08   1.9067e-08   1.9067e-08   6.1902e+11   4.8255e+09
