## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2565e+00   2.2017e-01   4.7809e-05   9.9347e-07   5.8086e-24  -2.5724e-08   7.6526e-08   7.6526e-08   1.2663e+08   9.8826e+05
  1.9953e+00   2.0049e+00   6.8855e-01   3.6581e-05   2.9068e-06   3.3645e-23  -6.3654e-08   4.3920e-08   4.3920e-08   3.8443e+08   2.9938e+06
  3.1623e+00   3.2544e+00   1.1714e+00   2.5090e-05   4.9879e-06   4.0573e-24   1.7998e-09   2.6705e-08   2.6705e-08   1.0398e+09   8.1058e+06
  5.0119e+00   5.2382e+00   1.6483e+00   1.6483e-05   5.7364e-06   4.5251e-24  -1.8218e-08   1.7130e-08   1.7130e-08   2.5271e+09   1.9690e+07
  7.9433e+00   8.2990e+00   2.1087e+00   1.0769e-05   5.3074e-06   1.9853e-23   1.0915e-09   1.0921e-08   1.0921e-08   6.2172e+09   4.8403e+07
  1.2589e+01   1.3148e+01   2.5687e+00   7.2064e-06   4.2471e-06   4.7933e-24  -6.1700e-09   6.8820e-09   6.8820e-09   1.5657e+10   1.2204e+08
  1.9953e+01   2.0845e+01   3.0295e+00   4.8873e-06   3.0560e-06  -5.1643e-24   6.9418e-09   4.3487e-09   4.3487e-09   3.9212e+10   3.0559e+08
  3.1623e+01   3.3039e+01   3.4902e+00   3.2962e-06   2.0910e-06  -6.4776e-23  -4.6785e-09   2.7468e-09   2.7468e-09   9.8284e+10   7.6612e+08
  5.0119e+01   5.2369e+01   3.9508e+00   2.1409e-06   1.4295e-06   4.1724e-23  -2.2878e-09   1.7342e-09   1.7342e-09   2.4659e+11   1.9224e+09
  7.9433e+01   8.3020e+01   4.4116e+00   1.3186e-06   9.9843e-07   8.4757e-23  -1.5685e-09   1.0945e-09   1.0945e-09   6.1902e+11   4.8255e+09
