## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2564e+00   2.2016e-01   1.8669e-05   3.2089e-07   4.4031e-24   2.1431e-07   5.7137e-08   5.7137e-08   5.9687e+07   3.7880e+05
  1.9953e+00   2.0036e+00   6.8789e-01   1.4579e-05   8.4357e-07   1.2492e-24   1.4007e-07   3.3110e-08   3.3110e-08   1.7775e+08   1.1254e+06
  3.1623e+00   3.2528e+00   1.1709e+00   1.0255e-05   1.6131e-06  -3.7542e-24   1.3910e-07   2.0293e-08   2.0293e-08   4.7317e+08   3.0007e+06
  5.0119e+00   5.2353e+00   1.6477e+00   6.9375e-06   1.9301e-06   3.8650e-24  -3.3586e-08   1.3105e-08   1.3105e-08   1.1346e+09   7.1970e+06
  7.9433e+00   8.2945e+00   2.1082e+00   4.4837e-06   1.8729e-06  -1.9228e-24  -1.8904e-09   8.3850e-09   8.3850e-09   2.7715e+09   1.7559e+07
  1.2589e+01   1.3145e+01   2.5686e+00   2.9399e-06   1.6348e-06  -1.0384e-23   7.5332e-09   5.2922e-09   5.2922e-09   6.9574e+09   4.4099e+07
  1.9953e+01   2.0842e+01   3.0295e+00   1.9436e-06   1.2335e-06   1.1887e-23   7.5465e-09   3.3483e-09   3.3483e-09   1.7381e+10   1.1018e+08
  3.1623e+01   3.3037e+01   3.4901e+00   1.3172e-06   8.6100e-07   1.5738e-23   6.6937e-09   2.1165e-09   2.1165e-09   4.3498e+10   2.7581e+08
  5.0119e+01   5.2365e+01   3.9508e+00   8.6860e-07   5.8216e-07   1.9008e-23  -1.4871e-09   1.3373e-09   1.3373e-09   1.0896e+11   6.9095e+08
  7.9433e+01   8.3013e+01   4.4115e+00   5.6467e-07   3.9875e-07  -7.6614e-24  -4.0030e-09   8.4465e-10   8.4465e-10   2.7313e+11   1.7320e+09
