## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2570e+00   2.2062e-01   3.4978e-05   8.9015e-07  -1.3768e-07   1.8693e-07   1.3804e-07   1.3804e-07   4.6218e+07   4.6524e+05
  1.9953e+00   2.0047e+00   6.8840e-01   2.7039e-05   2.0525e-06  -9.3194e-08   4.3888e-08   7.8741e-08   7.8741e-08   1.4205e+08   1.4269e+06
  3.1623e+00   3.2552e+00   1.1716e+00   1.8833e-05   3.5690e-06  -1.2975e-07   3.7010e-08   4.7520e-08   4.7520e-08   3.9003e+08   3.9228e+06
  5.0119e+00   5.2406e+00   1.6486e+00   1.2474e-05   4.0538e-06   1.6660e-09   2.1884e-09   3.0337e-08   3.0337e-08   9.5698e+08   9.6186e+06
  7.9433e+00   8.2987e+00   2.1087e+00   8.0938e-06   3.8864e-06  -2.0499e-08   1.5431e-10   1.9321e-08   1.9321e-08   2.3594e+09   2.3709e+07
  1.2589e+01   1.3147e+01   2.5687e+00   5.3728e-06   3.1806e-06  -1.4474e-08   1.7321e-08   1.2146e-08   1.2146e-08   5.9697e+09   6.0030e+07
  1.9953e+01   2.0846e+01   3.0296e+00   3.6115e-06   2.3290e-06   1.3514e-08   1.2907e-08   7.6647e-09   7.6647e-09   1.4992e+10   1.5080e+08
  3.1623e+01   3.3039e+01   3.4901e+00   2.4442e-06   1.5880e-06   1.5475e-08   8.5451e-09   4.8369e-09   4.8369e-09   3.7646e+10   3.7881e+08
  5.0119e+01   5.2368e+01   3.9508e+00   1.5900e-06   1.0779e-06   1.7338e-08  -2.7377e-09   3.0510e-09   3.0510e-09   9.4617e+10   9.5215e+08
  7.9433e+01   8.3015e+01   4.4115e+00   9.8793e-07   7.5149e-07   6.2806e-09  -2.2957e-10   1.9247e-09   1.9247e-09   2.3776e+11   2.3927e+09
