## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2576e+00   2.2106e-01   3.5572e-05   4.0407e-07   6.7179e-08  -1.2337e-07   1.1480e-07   1.1480e-07   4.8947e+07   4.1468e+05
  1.9953e+00   2.0046e+00   6.8834e-01   2.7275e-05   2.0163e-06   3.7714e-09  -1.1005e-07   6.5416e-08   6.5416e-08   1.5074e+08   1.2753e+06
  3.1623e+00   3.2552e+00   1.1716e+00   1.8962e-05   3.5216e-06  -3.4691e-09  -9.1650e-09   3.9488e-08   3.9488e-08   4.1367e+08   3.5003e+06
  5.0119e+00   5.2398e+00   1.6485e+00   1.2585e-05   4.1010e-06  -2.9751e-08   4.3013e-08   2.5211e-08   2.5211e-08   1.0149e+09   8.5866e+06
  7.9433e+00   8.2983e+00   2.1086e+00   8.2923e-06   3.8733e-06   2.0946e-08   5.3534e-09   1.6060e-08   1.6060e-08   2.5008e+09   2.1159e+07
  1.2589e+01   1.3147e+01   2.5687e+00   5.4578e-06   3.2007e-06   1.6878e-09   1.9472e-08   1.0097e-08   1.0097e-08   6.3274e+09   5.3549e+07
  1.9953e+01   2.0846e+01   3.0296e+00   3.6628e-06   2.3412e-06  -3.9638e-09   1.1712e-08   6.3724e-09   6.3724e-09   1.5885e+10   1.3447e+08
  3.1623e+01   3.3039e+01   3.4902e+00   2.4555e-06   1.6091e-06   1.7161e-08  -9.3720e-09   4.0213e-09   4.0213e-09   3.9888e+10   3.3773e+08
  5.0119e+01   5.2370e+01   3.9508e+00   1.6114e-06   1.0965e-06   2.2156e-08  -4.6875e-09   2.5364e-09   2.5364e-09   1.0027e+11   8.4905e+08
  7.9433e+01   8.3016e+01   4.4116e+00   1.0082e-06   7.5781e-07   1.3837e-08  -6.5584e-09   1.6002e-09   1.6002e-09   2.5190e+11   2.1332e+09
