## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2551e+00   2.1924e-01   6.6716e-06  -1.0620e-06   1.7021e-23   1.7454e-06   3.4933e-06   3.4933e-06   1.9567e+07   9.6714e+04
  1.9953e+00   2.0032e+00   6.8762e-01   3.0182e-06   5.6588e-07   2.5279e-22  -1.7099e-06   2.0295e-06   2.0295e-06   5.7972e+07   2.8639e+05
  3.1623e+00   3.2505e+00   1.1701e+00   1.2365e-06   1.5029e-06   1.6941e-22   5.6335e-07   1.2532e-06   1.2532e-06   1.5204e+08   7.5078e+05
  5.0119e+00   5.2330e+00   1.6471e+00   3.3453e-06   8.8756e-07   1.6330e-22  -2.6614e-07   8.1560e-07   8.1560e-07   3.5897e+08   1.7726e+06
  7.9433e+00   8.2874e+00   2.1073e+00   1.3963e-06   1.3129e-06   2.4790e-23   4.9042e-07   5.2698e-07   5.2698e-07   8.5986e+08   4.2437e+06
  1.2589e+01   1.3136e+01   2.5679e+00   1.0840e-06   1.2176e-07  -4.1216e-22  -2.3031e-08   3.3422e-07   3.3422e-07   2.1377e+09   1.0552e+07
  1.9953e+01   2.0835e+01   3.0292e+00   1.0025e-06   2.2618e-07  -2.2880e-22   1.6174e-07   2.1190e-07   2.1190e-07   5.3181e+09   2.6252e+07
  3.1623e+01   3.3033e+01   3.4901e+00   5.7549e-07   3.4010e-07   3.2029e-22   3.7148e-08   1.3416e-07   1.3416e-07   1.3266e+10   6.5490e+07
  5.0119e+01   5.2361e+01   3.9507e+00   3.3235e-07   3.8286e-07   2.8167e-22   4.0937e-08   8.4860e-08   8.4860e-08   3.3160e+10   1.6371e+08
  7.9433e+01   8.3010e+01   4.4115e+00   3.2205e-07   2.1833e-07   9.5492e-22  -3.7937e-08   5.3634e-08   5.3634e-08   8.3010e+10   4.0984e+08
