## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2572e+00   2.2071e-01   1.9001e-05   4.9887e-07  -1.0886e-07  -3.6393e-07   1.2904e-07   1.2904e-07   2.5394e+07   2.2520e+05
  1.9953e+00   2.0043e+00   6.8816e-01   1.5060e-05   1.0214e-06  -1.5174e-07   8.2164e-08   7.3712e-08   7.3712e-08   7.7821e+07   6.9008e+05
  3.1623e+00   3.2544e+00   1.1712e+00   1.0778e-05   1.7679e-06  -3.3461e-08  -7.9715e-08   4.4425e-08   4.4425e-08   2.1425e+08   1.9010e+06
  5.0119e+00   5.2410e+00   1.6486e+00   7.2756e-06   2.1091e-06   1.4274e-08  -7.1895e-09   2.8346e-08   2.8346e-08   5.2626e+08   4.6663e+06
  7.9433e+00   8.2971e+00   2.1085e+00   4.8413e-06   2.0259e-06   6.9334e-10  -1.5890e-08   1.8067e-08   1.8067e-08   1.2954e+09   1.1491e+07
  1.2589e+01   1.3145e+01   2.5685e+00   3.1293e-06   1.7426e-06  -1.6935e-08   9.3481e-09   1.1350e-08   1.1350e-08   3.2822e+09   2.9116e+07
  1.9953e+01   2.0843e+01   3.0295e+00   2.0861e-06   1.3128e-06  -8.4614e-09   4.1412e-09   7.1608e-09   7.1608e-09   8.2462e+09   7.3195e+07
  3.1623e+01   3.3040e+01   3.4903e+00   1.3815e-06   9.3085e-07  -2.3836e-09   4.6126e-09   4.5179e-09   4.5179e-09   2.0715e+10   1.8396e+08
  5.0119e+01   5.2374e+01   3.9510e+00   9.1784e-07   6.3428e-07  -3.0022e-09   6.2022e-09   2.8502e-09   2.8502e-09   5.2052e+10   4.6225e+08
  7.9433e+01   8.3020e+01   4.4117e+00   5.8378e-07   4.3124e-07  -5.4620e-09   6.0013e-10   1.7979e-09   1.7979e-09   1.3082e+11   1.1616e+09
