## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2577e+00   2.2115e-01   1.3020e-04   3.7154e-06   3.3829e-24   7.6533e-07   3.1151e-07   3.1151e-07   4.1023e+07   6.5545e+05
  1.9953e+00   2.0032e+00   6.8756e-01   9.5825e-05   9.6899e-06   2.1835e-23  -8.2817e-07   1.7820e-07   1.7820e-07   1.2537e+08   1.9985e+06
  3.1623e+00   3.2542e+00   1.1712e+00   6.3281e-05   1.5787e-05   1.9994e-23  -9.1238e-08   1.0753e-07   1.0753e-07   3.4427e+08   5.4914e+06
  5.0119e+00   5.2423e+00   1.6488e+00   4.1626e-05   1.7230e-05  -7.1071e-23  -8.6475e-08   6.8696e-08   6.8696e-08   8.4355e+08   1.3440e+07
  7.9433e+00   8.2993e+00   2.1086e+00   2.7959e-05   1.4717e-05  -4.1638e-23  -3.3884e-08   4.3863e-08   4.3863e-08   2.0691e+09   3.2983e+07
  1.2589e+01   1.3147e+01   2.5685e+00   1.9237e-05   1.0952e-05   1.2118e-22   2.2988e-08   2.7581e-08   2.7581e-08   5.2331e+09   8.3496e+07
  1.9953e+01   2.0844e+01   3.0294e+00   1.3127e-05   7.6752e-06  -6.7732e-24   6.6227e-08   1.7424e-08   1.7424e-08   1.3113e+10   2.0933e+08
  3.1623e+01   3.3035e+01   3.4899e+00   8.5931e-06   5.3251e-06  -2.2979e-22   2.6087e-08   1.1000e-08   1.1000e-08   3.2900e+10   5.2532e+08
  5.0119e+01   5.2361e+01   3.9506e+00   5.2852e-06   3.7604e-06   3.8449e-22   2.2665e-09   6.9412e-09   6.9412e-09   8.2624e+10   1.3197e+09
  7.9433e+01   8.3006e+01   4.4114e+00   2.8667e-06   2.7476e-06  -7.9958e-23   1.6396e-08   4.3792e-09   4.3792e-09   2.0759e+11   3.3156e+09
