## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2558e+00   2.1966e-01   1.0986e-05   8.6914e-08   1.4195e-07  -6.5660e-08   5.4657e-08   5.4657e-08   3.1316e+07   1.7532e+05
  1.9953e+00   2.0049e+00   6.8851e-01   8.7817e-06   5.1866e-07  -4.8772e-08  -2.9844e-08   3.1461e-08   3.1461e-08   9.4515e+07   5.2858e+05
  3.1623e+00   3.2533e+00   1.1710e+00   6.4578e-06   8.5057e-07   4.0872e-08   4.2356e-09   1.9160e-08   1.9160e-08   2.5484e+08   1.4259e+06
  5.0119e+00   5.2355e+00   1.6477e+00   4.4884e-06   1.1277e-06   1.4020e-08   1.3468e-09   1.2320e-08   1.2320e-08   6.1639e+08   3.4476e+06
  7.9433e+00   8.2926e+00   2.1080e+00   2.9655e-06   1.1169e-06  -1.9670e-08  -2.4783e-09   7.8775e-09   7.8775e-09   1.5076e+09   8.4297e+06
  1.2589e+01   1.3141e+01   2.5684e+00   1.9112e-06   9.7829e-07  -5.5631e-09  -7.8510e-09   4.9616e-09   4.9616e-09   3.8001e+09   2.1255e+07
  1.9953e+01   2.0841e+01   3.0296e+00   1.2505e-06   7.7549e-07   7.0619e-09   3.5659e-09   3.1358e-09   3.1358e-09   9.5136e+09   5.3220e+07
  3.1623e+01   3.3040e+01   3.4904e+00   8.3385e-07   5.6524e-07   3.6480e-09   6.3304e-09   1.9803e-09   1.9803e-09   2.3856e+10   1.3348e+08
  5.0119e+01   5.2375e+01   3.9510e+00   5.5436e-07   3.8102e-07  -2.9407e-09  -1.0194e-09   1.2504e-09   1.2504e-09   5.9835e+10   3.3479e+08
  7.9433e+01   8.3025e+01   4.4117e+00   3.6401e-07   2.5689e-07  -3.5127e-09   8.3027e-11   7.8927e-10   7.8927e-10   1.5017e+11   8.4025e+08
