## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2576e+00   2.2106e-01   3.7334e-05   3.2994e-06   5.6783e-07   1.8590e-06   1.8683e-06   1.8683e-06   4.8947e+07   4.1468e+05
  1.9953e+00   2.0046e+00   6.8834e-01   2.7298e-05   2.6717e-06  -7.1490e-07  -1.8300e-06   1.0647e-06   1.0647e-06   1.5074e+08   1.2753e+06
  3.1623e+00   3.2552e+00   1.1716e+00   1.8711e-05   3.7157e-06  -9.4782e-07   1.7944e-06   6.4267e-07   6.4267e-07   4.1367e+08   3.5003e+06
  5.0119e+00   5.2398e+00   1.6485e+00   1.2428e-05   4.3546e-06  -6.5490e-08  -5.6710e-08   4.1030e-07   4.1030e-07   1.0149e+09   8.5866e+06
  7.9433e+00   8.2983e+00   2.1086e+00   8.5680e-06   4.3381e-06   1.4646e-07   2.4311e-08   2.6138e-07   2.6138e-07   2.5008e+09   2.1159e+07
  1.2589e+01   1.3147e+01   2.5687e+00   5.4596e-06   3.3245e-06  -2.2722e-07   2.0877e-08   1.6432e-07   1.6432e-07   6.3274e+09   5.3549e+07
  1.9953e+01   2.0846e+01   3.0296e+00   3.7234e-06   2.3689e-06   1.7507e-07   4.2542e-08   1.0371e-07   1.0371e-07   1.5885e+10   1.3447e+08
  3.1623e+01   3.3039e+01   3.4902e+00   2.5732e-06   1.5879e-06  -2.3748e-08  -4.6188e-08   6.5447e-08   6.5447e-08   3.9888e+10   3.3773e+08
  5.0119e+01   5.2370e+01   3.9508e+00   1.5603e-06   1.0866e-06   1.4581e-08  -3.2026e-08   4.1279e-08   4.1279e-08   1.0027e+11   8.4905e+08
  7.9433e+01   8.3016e+01   4.4116e+00   1.0414e-06   7.8573e-07   1.1781e-08  -2.8914e-08   2.6044e-08   2.6044e-08   2.5190e+11   2.1332e+09
