## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2570e+00   2.2062e-01   3.7182e-05   1.2018e-06   2.5443e-06  -3.5310e-06   1.9868e-06   1.9868e-06   4.6218e+07   4.6524e+05
  1.9953e+00   2.0047e+00   6.8840e-01   2.8138e-05   5.3151e-07  -1.9940e-06  -1.0449e-06   1.1333e-06   1.1333e-06   1.4205e+08   1.4269e+06
  3.1623e+00   3.2552e+00   1.1716e+00   1.8337e-05   4.1255e-06   9.4080e-07   1.1648e-06   6.8392e-07   6.8392e-07   3.9003e+08   3.9228e+06
  5.0119e+00   5.2406e+00   1.6486e+00   1.2974e-05   3.9339e-06  -3.9823e-07   5.3073e-07   4.3662e-07   4.3662e-07   9.5698e+08   9.6186e+06
  7.9433e+00   8.2987e+00   2.1087e+00   8.1765e-06   3.7161e-06   3.7016e-07   1.9621e-07   2.7807e-07   2.7807e-07   2.3594e+09   2.3709e+07
  1.2589e+01   1.3147e+01   2.5687e+00   5.7313e-06   3.2366e-06  -8.3478e-08  -3.7452e-07   1.7481e-07   1.7481e-07   5.9697e+09   6.0030e+07
  1.9953e+01   2.0846e+01   3.0296e+00   3.6520e-06   2.3954e-06  -4.7779e-08  -1.0648e-07   1.1031e-07   1.1031e-07   1.4992e+10   1.5080e+08
  3.1623e+01   3.3039e+01   3.4901e+00   2.5150e-06   1.6015e-06   1.7800e-08  -3.3125e-08   6.9614e-08   6.9614e-08   3.7646e+10   3.7881e+08
  5.0119e+01   5.2368e+01   3.9508e+00   1.6811e-06   1.1356e-06   3.1005e-08  -6.3221e-09   4.3910e-08   4.3910e-08   9.4617e+10   9.5215e+08
  7.9433e+01   8.3015e+01   4.4115e+00   1.0276e-06   7.0873e-07  -1.9816e-08  -3.1241e-08   2.7700e-08   2.7700e-08   2.3776e+11   2.3927e+09
