## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2567e+00   2.2038e-01   2.7125e-05   4.7715e-07  -9.2928e-08   8.8914e-08   6.7519e-08   6.7519e-08   8.3384e+07   5.8608e+05
  1.9953e+00   2.0043e+00   6.8824e-01   2.1118e-05   1.5447e-06   7.3123e-08   4.9553e-08   3.8717e-08   3.8717e-08   2.5359e+08   1.7818e+06
  3.1623e+00   3.2540e+00   1.1713e+00   1.4876e-05   2.4917e-06   1.6091e-08   6.8331e-08   2.3512e-08   2.3512e-08   6.8762e+08   4.8320e+06
  5.0119e+00   5.2375e+00   1.6481e+00   9.8711e-06   3.0513e-06   1.1584e-08   5.0207e-08   1.5075e-08   1.5075e-08   1.6728e+09   1.1752e+07
  7.9433e+00   8.2973e+00   2.1086e+00   6.4533e-06   2.9293e-06   2.3570e-08  -1.8752e-08   9.6131e-09   9.6131e-09   4.1135e+09   2.8892e+07
  1.2589e+01   1.3147e+01   2.5687e+00   4.2587e-06   2.4481e-06  -5.6693e-09  -2.5320e-09   6.0535e-09   6.0535e-09   1.0373e+10   7.2904e+07
  1.9953e+01   2.0845e+01   3.0296e+00   2.8386e-06   1.8027e-06  -1.1488e-08   1.0294e-08   3.8239e-09   3.8239e-09   2.5996e+10   1.8274e+08
  3.1623e+01   3.3040e+01   3.4902e+00   1.9192e-06   1.2489e-06   4.8616e-10   3.7331e-09   2.4147e-09   2.4147e-09   6.5196e+10   4.5836e+08
  5.0119e+01   5.2372e+01   3.9509e+00   1.2610e-06   8.5038e-07   3.7960e-09  -1.4176e-09   1.5241e-09   1.5241e-09   1.6365e+11   1.1505e+09
  7.9433e+01   8.3020e+01   4.4116e+00   8.0332e-07   5.8276e-07   4.0862e-09  -5.0240e-09   9.6187e-10   9.6187e-10   4.1086e+11   2.8886e+09
