## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       xip          xim         xip_im       xim_im     sigma_xip    sigma_xim      weight       npairs   
  1.2589e+00   1.2571e+00   2.2062e-01   1.0799e-04   1.8229e-07  -1.6715e-22  -2.8239e-06   1.8275e-06   1.8275e-06   4.7159e+07   5.3363e+05
  1.9953e+00   2.0034e+00   6.8773e-01   7.8801e-05   8.0310e-06   2.0343e-22  -4.9832e-07   1.0495e-06   1.0495e-06   1.4298e+08   1.6152e+06
  3.1623e+00   3.2540e+00   1.1711e+00   5.4208e-05   1.3324e-05  -3.0106e-22   2.9438e-08   6.3535e-07   6.3535e-07   3.9016e+08   4.4089e+06
  5.0119e+00   5.2415e+00   1.6487e+00   3.5188e-05   1.3239e-05  -1.1010e-22   2.6290e-07   4.0676e-07   4.0676e-07   9.5194e+08   1.0752e+07
  7.9433e+00   8.2982e+00   2.1086e+00   2.3247e-05   1.2685e-05   1.3999e-22  -1.4610e-07   2.5973e-07   2.5973e-07   2.3347e+09   2.6363e+07
  1.2589e+01   1.3147e+01   2.5686e+00   1.6006e-05   9.0635e-06   1.6275e-22   1.5230e-07   1.6347e-07   1.6347e-07   5.8940e+09   6.6592e+07
  1.9953e+01   2.0844e+01   3.0295e+00   1.0918e-05   6.7203e-06   8.8978e-22   2.0175e-07   1.0331e-07   1.0331e-07   1.4757e+10   1.6684e+08
  3.1623e+01   3.3035e+01   3.4900e+00   7.3447e-06   4.4158e-06  -1.9672e-22  -2.1223e-08   6.5255e-08   6.5255e-08   3.6987e+10   4.1825e+08
  5.0119e+01   5.2362e+01   3.9506e+00   4.5295e-06   3.2332e-06  -3.5022e-13  -2.6761e-08   4.1192e-08   4.1192e-08   9.2823e+10   1.0497e+09
  7.9433e+01   8.3008e+01   4.4114e+00   2.6178e-06   2.2599e-06   1.3950e-13  -4.9840e-08   2.5993e-08   2.5993e-08   2.3311e+11   2.6361e+09
